ID; lat; long; latRad; longRad
137494790;36.2248;-115.1894;-2.010434;0.632242
137494793;36.22478;-115.1921;-2.010482;0.6322416
137494796;36.22477;-115.1934;-2.010503;0.6322415
137494799;36.22477;-115.1951;-2.010534;0.6322414
137494802;36.22475;-115.1978;-2.010581;0.6322411
137494808;36.2247;-115.2026;-2.010664;0.6322403
137527143;36.22126;-115.17;-2.010096;0.6321802
137527918;36.22075;-115.1873;-2.010398;0.6321714
137527921;36.22047;-115.1873;-2.010397;0.6321664
137527926;36.2201;-115.1872;-2.010396;0.63216
137527929;36.21979;-115.1872;-2.010396;0.6321546
137527932;36.21941;-115.1872;-2.010396;0.6321479
137527963;36.2229;-115.1888;-2.010423;0.6322088
137527988;36.22314;-115.176;-2.010201;0.6322131
137527990;36.22309;-115.1778;-2.010232;0.6322122
137527992;36.22308;-115.1787;-2.010248;0.6322119
137527995;36.22304;-115.1798;-2.010267;0.6322113
137527998;36.223;-115.1819;-2.010304;0.6322106
137529905;36.22077;-115.1858;-2.010372;0.6321718
137529907;36.22075;-115.1863;-2.01038;0.6321714
137529908;36.22076;-115.1866;-2.010385;0.6321715
137529910;36.22077;-115.1869;-2.010391;0.6321716
137529913;36.22073;-115.188;-2.010411;0.632171
137533067;36.22659;-115.1798;-2.010267;0.6322732
137558622;36.22527;-115.173;-2.010148;0.6322501
137563255;36.22976;-115.1801;-2.010273;0.6323286
137571136;36.22127;-115.1741;-2.010168;0.6321804
137571139;36.22133;-115.1742;-2.010169;0.6321815
137571142;36.22231;-115.1742;-2.01017;0.6321986
137571145;36.2224;-115.1742;-2.01017;0.6322002
137571149;36.22245;-115.1742;-2.010169;0.632201
137574690;36.22185;-115.1881;-2.010411;0.6321905
137574693;36.22433;-115.1882;-2.010414;0.6322339
137581396;36.22096;-115.1858;-2.010372;0.632175
137581398;36.21978;-115.1858;-2.010371;0.6321545
137581400;36.21894;-115.1857;-2.01037;0.6321397
137584822;36.22189;-115.1802;-2.010273;0.6321913
137594621;36.23155;-115.1802;-2.010274;0.6323598
137596083;36.21953;-115.1759;-2.010198;0.63215
137596086;36.21948;-115.1777;-2.010229;0.6321492
137596088;36.21945;-115.1786;-2.010245;0.6321486
137596090;36.21944;-115.1796;-2.010263;0.6321486
137602113;36.22839;-115.18;-2.01027;0.6323047
137604874;36.21819;-115.1885;-2.010418;0.6321266
137604877;36.21885;-115.1885;-2.010419;0.6321381
137604887;36.22113;-115.1887;-2.010421;0.6321781
137604890;36.22184;-115.1887;-2.010422;0.6321904
137604893;36.22448;-115.1889;-2.010425;0.6322364
137612072;36.22128;-115.1777;-2.010231;0.6321806
137612074;36.22322;-115.1778;-2.010233;0.6322145
137620218;36.22118;-115.1819;-2.010303;0.6321788
137620221;36.22189;-115.1819;-2.010304;0.6321912
137656236;36.22188;-115.1833;-2.010328;0.6321911
137666302;36.22135;-115.176;-2.0102;0.6321818
137704159;36.21826;-115.1785;-2.010244;0.6321279
137704162;36.22125;-115.1786;-2.010246;0.63218
137705456;36.21801;-115.1844;-2.010347;0.6321235
137705459;36.21883;-115.1844;-2.010347;0.6321378
137705462;36.21943;-115.1844;-2.010347;0.6321482
137705465;36.22026;-115.1844;-2.010348;0.6321629
137705468;36.22069;-115.1845;-2.010349;0.6321703
137724081;36.22186;-115.1858;-2.010372;0.6321908
137724084;36.22237;-115.1859;-2.010373;0.6321995
137743531;36.22123;-115.1797;-2.010265;0.6321797
137757555;36.22123;-115.174;-2.010166;0.6321797
137757563;36.22134;-115.1758;-2.010197;0.6321817
137757566;36.22113;-115.1858;-2.010372;0.6321781
137761156;36.22046;-115.1866;-2.010385;0.6321663
137761158;36.22011;-115.1865;-2.010384;0.6321602
137761160;36.2198;-115.1865;-2.010383;0.6321547
1152421720;36.2435;-115.1709;-2.010112;0.6325685
1345379837;36.23008;-115.1846;-2.010351;0.6323342
1437762031;36.22303;-115.1804;-2.010278;0.6322111
2156006643;36.2259;-115.1708;-2.01011;0.6322612
2163870360;36.22104;-115.1948;-2.010529;0.6321763
2163870361;36.22107;-115.1944;-2.010522;0.6321769
2163870362;36.22108;-115.1956;-2.010542;0.6321771
2163870363;36.22112;-115.196;-2.01055;0.6321777
2163870364;36.22112;-115.1911;-2.010463;0.6321778
2163870365;36.22121;-115.1937;-2.010509;0.6321793
2163870366;36.22124;-115.1932;-2.010501;0.63218
2163870367;36.22127;-115.1923;-2.010485;0.6321804
2163870368;36.22128;-115.1927;-2.010493;0.6321806
2186344059;36.2197;-115.1886;-2.01042;0.632153
2186344062;36.2197;-115.1892;-2.010431;0.632153
2186344128;36.22105;-115.1951;-2.010534;0.6321766
2186344131;36.22108;-115.197;-2.010567;0.6321771
2186344134;36.22112;-115.1941;-2.010517;0.6321777
2186344136;36.22116;-115.1913;-2.010468;0.6321784
2186344152;36.22477;-115.1936;-2.010508;0.6322415
2186344154;36.22478;-115.1912;-2.010465;0.6322418
2186398224;36.22528;-115.1866;-2.010385;0.6322505
2186398236;36.22611;-115.1753;-2.010188;0.6322649
2186398242;36.22689;-115.1753;-2.010189;0.6322785
2186398264;36.22764;-115.1754;-2.010189;0.6322916
2186398275;36.22884;-115.1754;-2.010191;0.6323125
2186398294;36.22986;-115.1755;-2.010191;0.6323303
2186398299;36.23055;-115.1778;-2.010232;0.6323423
2203510940;36.21801;-115.185;-2.010357;0.6321235
2203510941;36.21801;-115.1842;-2.010343;0.6321236
2203510942;36.21808;-115.1851;-2.010359;0.6321247
2203510943;36.21823;-115.1851;-2.010359;0.6321273
2203510944;36.21847;-115.1851;-2.010358;0.6321316
2203510945;36.2187;-115.185;-2.010358;0.6321356
2203510946;36.22068;-115.1851;-2.01036;0.6321701
2203510947;36.22074;-115.1845;-2.01035;0.6321712
2203510949;36.22074;-115.1851;-2.010359;0.6321712
2206213247;36.21973;-115.1884;-2.010417;0.6321536
2206213248;36.21985;-115.1882;-2.010413;0.6321556
2206213249;36.21986;-115.188;-2.010409;0.6321558
2206213250;36.21994;-115.1882;-2.010413;0.6321572
2206213251;36.22007;-115.1884;-2.010417;0.6321594
2835541435;36.21986;-115.1881;-2.010412;0.6321558
2835541436;36.21994;-115.1881;-2.010412;0.6321573
2961173846;36.21133;-115.1701;-2.010097;0.6320069
3584305544;36.2394;-115.1711;-2.010114;0.6324969
4168448135;36.25687;-115.1709;-2.010112;0.6328017
